Frequency,Impedance,Phase,Real,Imaginary,Magnitude,
 40000 , 344872.716515188 ,-8.71807061902877 , 12645 ,-16033 , 20419.4298157417 
 40100 , 344838.477362151 ,-8.64748415750103 , 12666 ,-16019 , 20421.4572692548 
 40200 , 344857.101852435 ,-8.5519741548926 , 12692 ,-15997 , 20420.3543798828 
 40300 , 344460.522761967 ,-8.60423154832864 , 12692 ,-16027 , 20443.8644341035 
 40400 , 344844.007665712 ,-8.36004261665948 , 12746 ,-15955 , 20421.1297679634 
 40500 , 344841.449205722 ,-8.32805553703918 , 12755 ,-15948 , 20421.2812771383 
 40600 , 344941.099217166 ,-8.21409917492809 , 12783 ,-15918 , 20415.3817745346 
 40700 , 344910.423510123 ,-8.11374608536181 , 12812 ,-15897 , 20417.197481535 
 40800 , 344916.150896377 ,-8.03003227601437 , 12835 ,-15878 , 20416.8584507999 
 40900 , 344849.143363047 ,-7.92711342724891 , 12866 ,-15858 , 20420.8256444249 
 41000 , 344862.973385077 ,-7.82762269576938 , 12893 ,-15835 , 20420.0067091076 
 41100 , 344888.612078799 ,-7.76623057127188 , 12909 ,-15820 , 20418.4887050927 
 41200 , 344954.276892363 ,-7.67757983977714 , 12931 ,-15797 , 20414.6018819863 
 41300 , 344956.168231808 ,-7.59385103470458 , 12954 ,-15778 , 20414.4899519924 
 41400 , 344883.509774059 ,-7.45112771137997 , 12996 ,-15749 , 20418.7907820223 
 41500 , 344940.748721474 ,-7.41416166405037 , 13004 ,-15738 , 20415.4025186867 
 41600 , 344972.66724572 ,-7.33691911130956 , 13024 ,-15719 , 20413.5135878173 
 41700 , 344995.360723155 ,-7.25355061559594 , 13046 ,-15699 , 20412.1708056738 
 41800 , 344950.23813838 ,-7.16118860835968 , 13073 ,-15680 , 20414.8409006781 
 41900 , 345008.513978545 ,-7.12021403237821 , 13082 ,-15668 , 20411.3926031518 
 42000 , 345009.710594107 ,-7.02856489598071 , 13107 ,-15647 , 20411.3218092313 
 42100 , 344931.248088239 ,-6.9039114303622 , 13144 ,-15622 , 20415.9648314744 
 42200 , 344897.669061993 ,-6.80585000514878 , 13172 ,-15601 , 20417.9525173314 
 42300 , 344972.268638922 ,-6.72922285987414 , 13190 ,-15580 , 20413.5371751198 
 42400 , 344949.758496625 ,-6.62935039292859 , 13218 ,-15558 , 20414.8692868703 
 42500 , 345065.769629848 ,-6.51341261629659 , 13245 ,-15526 , 20408.0058065456 
 42600 , 344965.64029601 ,-6.44639907734347 , 13267 ,-15515 , 20413.9294110664 
 42700 , 344854.066752778 ,-6.35142605487914 , 13297 ,-15498 , 20420.534101732 
 42800 , 345010.343687446 ,-6.21805594676442 , 13327 ,-15460 , 20411.2843544937 
 42900 , 345047.0781775 ,-6.13490943008162 , 13348 ,-15439 , 20409.1113231321 
 43000 , 344987.703554205 ,-6.05061806147216 , 13373 ,-15422 , 20412.6238636781 
 43100 , 345045.665382265 ,-5.94185392492062 , 13400 ,-15394 , 20409.194888579 
 43200 , 345027.139116869 ,-5.89985731448405 , 13412 ,-15385 , 20410.2907622601 
 43300 , 345046.765464072 ,-5.82248363876465 , 13432 ,-15366 , 20409.1298197645 
 43400 , 345070.467409786 ,-5.73321556548888 , 13455 ,-15344 , 20407.7279725108 
 43500 , 345063.345004214 ,-5.65953088483536 , 13475 ,-15327 , 20408.1492056482 
 43600 , 345037.790743952 ,-5.5697507232407 , 13500 ,-15307 , 20409.6606782181 
 43700 , 345844.975427316 ,-5.53031294771279 , 13479 ,-15262 , 20362.0255623059 
 43800 , 344998.213662305 ,-5.38440550994812 , 13551 ,-15265 , 20412.0020086223 
 43900 , 345127.299645647 ,-5.2902095713946 , 13571 ,-15237 , 20404.3674246471 
 44000 , 345065.788271452 ,-5.1901975208782 , 13600 ,-15216 , 20408.0047040371 
 44100 , 345033.200318381 ,-5.10838340034906 , 13623 ,-15198 , 20409.9322144881 
 44200 , 345107.995225172 ,-5.02555182353768 , 13642 ,-15175 , 20405.5087905203 
 44300 , 345144.403998851 ,-4.94832568858379 , 13661 ,-15155 , 20403.3562435203 
 44400 , 345198.754884274 ,-4.84936559076897 , 13685 ,-15129 , 20400.1437740032 
 44500 , 345140.476288791 ,-4.76339424958258 , 13710 ,-15111 , 20403.5884343907 
 44600 , 345207.740926707 ,-4.73808845340352 , 13714 ,-15102 , 20399.6127414223 
 44700 , 345185.618840052 ,-4.60470923553123 , 13750 ,-15071 , 20400.9201017993 
 44800 , 345170.976251151 ,-4.48135384864315 , 13783 ,-15042 , 20401.7855346046 
 44900 , 345131.471457376 ,-4.44926808352932 , 13793 ,-15036 , 20404.1207847827 
 45000 , 345158.933753455 ,-4.29245380821061 , 13833 ,-14997 , 20402.4973471387 
 45100 , 345186.689158997 ,-4.27673970352032 , 13836 ,-14992 , 20400.8568447504 
 45200 , 345211.059129563 ,-4.17354804998394 , 13862 ,-14966 , 20399.4166583263 
 45300 , 345184.731822326 ,-4.07799077762229 , 13888 ,-14944 , 20400.9725258381 
 45400 , 345174.619723031 ,-4.01434112666993 , 13905 ,-14929 , 20401.5701846696 
 45500 , 345182.971491831 ,-3.91702343728855 , 13930 ,-14905 , 20401.0765647306 
 45600 , 345093.750350911 ,-3.88473885311555 , 13942 ,-14901 , 20406.351094696 
 45700 , 345182.173235405 ,-3.73620971971093 , 13977 ,-14861 , 20401.1237435588 
 45800 , 345236.215463739 ,-3.63514393151166 , 14001 ,-14834 , 20397.9302136271 
 45900 , 345188.908620014 ,-3.56140873545485 , 14022 ,-14818 , 20400.7256733676 
